Total energy after final integration           :     -1.167404003 Eh
Total energy after final integration           :     -1.169375009 Eh
Total energy after final integration           :     -1.171071756 Eh
Total energy after final integration           :     -1.172285917 Eh
Total energy after final integration           :     -1.172918432 Eh
Total energy after final integration           :     -1.172965823 Eh
Total energy after final integration           :     -1.172493268 Eh
Total energy after final integration           :     -1.171605202 Eh
Total energy after final integration           :     -1.170418211 Eh
Total energy after final integration           :     -1.169035244 Eh
Total energy after final integration           :     -1.167519929 Eh
Total energy after final integration           :     -1.165891186 Eh
Total energy after final integration           :     -1.164182519 Eh
Total energy after final integration           :     -1.162500909 Eh
Total energy after final integration           :     -1.160975622 Eh
Total energy after final integration           :     -1.159706994 Eh
Total energy after final integration           :     -1.158762949 Eh
Total energy after final integration           :     -1.158186664 Eh
Total energy after final integration           :     -1.158002004 Eh
Total energy after final integration           :     -1.158216267 Eh
Total energy after final integration           :     -1.158820971 Eh
Total energy after final integration           :     -1.159790936 Eh
Total energy after final integration           :     -1.161081384 Eh
Total energy after final integration           :     -1.162622275 Eh
Total energy after final integration           :     -1.164310691 Eh
Total energy after final integration           :     -1.166016433 Eh
Total energy after final integration           :     -1.167637039 Eh
Total energy after final integration           :     -1.169143220 Eh
Total energy after final integration           :     -1.170514461 Eh
Total energy after final integration           :     -1.171684317 Eh
Total energy after final integration           :     -1.172548623 Eh
Total energy after final integration           :     -1.172991348 Eh
Total energy after final integration           :     -1.172910314 Eh
Total energy after final integration           :     -1.172244353 Eh
Total energy after final integration           :     -1.171002592 Eh
Total energy after final integration           :     -1.169290687 Eh
Total energy after final integration           :     -1.167322995 Eh
Total energy after final integration           :     -1.165406864 Eh
Total energy after final integration           :     -1.163890005 Eh
Total energy after final integration           :     -1.163076956 Eh
Total energy after final integration           :     -1.163140859 Eh
Total energy after final integration           :     -1.164068118 Eh
Total energy after final integration           :     -1.165662857 Eh
Total energy after final integration           :     -1.167608940 Eh
Total energy after final integration           :     -1.169559727 Eh
Total energy after final integration           :     -1.171218442 Eh
Total energy after final integration           :     -1.172385593 Eh
Total energy after final integration           :     -1.172970054 Eh
Total energy after final integration           :     -1.172974124 Eh
Total energy after final integration           :     -1.172466325 Eh
Total energy after final integration           :     -1.171552233 Eh
Total energy after final integration           :     -1.170347630 Eh
Total energy after final integration           :     -1.168952586 Eh
Total energy after final integration           :     -1.167425926 Eh
Total energy after final integration           :     -1.165783494 Eh
Total energy after final integration           :     -1.164063507 Eh
Total energy after final integration           :     -1.162378834 Eh
Total energy after final integration           :     -1.160858557 Eh
Total energy after final integration           :     -1.159600743 Eh
Total energy after final integration           :     -1.158671397 Eh
