#     Step;    Sim. Time;   Iter;    t_Ener;    t_Grad;       Temp;       E_Kin;           E_Pot;           E_Tot;        Cons.Qty;   E.Drift
       198;         39.6;      7;      7.57;      0.77;     883.49;    0.008393;       -1.171481;       -1.163088;       -1.163088;      0.14
       199;         39.8;      7;      4.69;      0.77;     713.15;    0.006775;       -1.169853;       -1.163077;       -1.163077;      0.69
       200;         40.0;      7;      4.60;      0.77;     509.26;    0.004838;       -1.167898;       -1.163060;       -1.163060;      1.60
       201;         40.2;      6;      8.76;      0.76;     302.24;    0.002871;       -1.165910;       -1.163038;       -1.163038;      2.74
       202;         40.4;      6;      4.16;      0.76;     128.43;    0.001220;       -1.164238;       -1.163018;       -1.163018;      3.83
       203;         40.6;      4;      4.20;      0.75;      21.89;    0.000208;       -1.163212;       -1.163004;       -1.163004;      4.56
       204;         40.8;      3;      5.57;      0.80;       4.98;    0.000047;       -1.163049;       -1.163002;       -1.163002;      4.68
       205;         41.0;      4;      5.24;      0.78;      81.31;    0.000773;       -1.163784;       -1.163012;       -1.163012;      4.15
       206;         41.2;      6;      5.90;      0.79;     234.68;    0.002230;       -1.165260;       -1.163031;       -1.163031;      3.15
       207;         41.4;      6;      4.29;      0.75;     434.13;    0.004124;       -1.167177;       -1.163053;       -1.163053;      1.99
       208;         41.6;      7;      8.41;      0.75;     643.07;    0.006109;       -1.169181;       -1.163072;       -1.163072;      0.98
       209;         41.8;      7;      9.32;      0.75;     828.22;    0.007868;       -1.170953;       -1.163085;       -1.163085;      0.29
       210;         42.0;      7;      8.70;      0.75;     965.66;    0.009174;       -1.172265;       -1.163091;       -1.163091;     -0.00
       211;         42.2;      7;      7.56;      0.74;    1042.90;    0.009908;       -1.172998;       -1.163090;       -1.163090;      0.04
       212;         42.4;      7;      7.20;      0.76;    1057.93;    0.010051;       -1.173135;       -1.163084;       -1.163084;      0.32
       213;         42.6;      7;      5.25;      0.74;    1016.65;    0.009659;       -1.172735;       -1.163076;       -1.163076;      0.74
       214;         42.8;      7;      5.00;      0.77;     929.82;    0.008834;       -1.171901;       -1.163067;       -1.163067;      1.22
       215;         43.0;      6;      6.93;      0.76;     810.62;    0.007701;       -1.170759;       -1.163058;       -1.163058;      1.69
       216;         43.2;      6;      5.04;      0.77;     672.69;    0.006391;       -1.169441;       -1.163050;       -1.163050;      2.14
       217;         43.4;      6;      4.32;      0.76;     528.79;    0.005024;       -1.168067;       -1.163043;       -1.163043;      2.50
       218;         43.6;      6;      4.78;      0.76;     389.60;    0.003701;       -1.166739;       -1.163038;       -1.163038;      2.76
       219;         43.8;      6;      6.70;      0.77;     263.27;    0.002501;       -1.165536;       -1.163034;       -1.163034;      2.95
       220;         44.0;      5;      3.94;      0.75;     156.31;    0.001485;       -1.164516;       -1.163031;       -1.163031;      3.13
       221;         44.2;      5;      5.25;      0.75;      74.24;    0.000705;       -1.163734;       -1.163028;       -1.163028;      3.27
       222;         44.4;      4;      4.20;      0.77;      21.35;    0.000203;       -1.163230;       -1.163027;       -1.163027;      3.35
       223;         44.6;      4;      4.97;      0.75;       0.32;    0.000003;       -1.163029;       -1.163026;       -1.163026;      3.38
       224;         44.8;      3;      3.71;      0.77;      12.19;    0.000116;       -1.163142;       -1.163027;       -1.163027;      3.36
       225;         45.0;      4;      4.31;      0.76;      56.36;    0.000535;       -1.163563;       -1.163028;       -1.163028;      3.29
       226;         45.2;      4;      4.79;      0.76;     130.63;    0.001241;       -1.164271;       -1.163030;       -1.163030;      3.17
       227;         45.4;      5;      4.36;      0.75;     231.14;    0.002196;       -1.165229;       -1.163033;       -1.163033;      3.00
       228;         45.6;      5;      4.76;      0.75;     352.67;    0.003350;       -1.166387;       -1.163037;       -1.163037;      2.81
       229;         45.8;      6;      5.05;      0.77;     488.99;    0.004646;       -1.167687;       -1.163041;       -1.163041;      2.58
       230;         46.0;      6;      4.32;      0.75;     632.53;    0.006009;       -1.169057;       -1.163048;       -1.163048;      2.25
       231;         46.2;      6;      4.21;      0.80;     773.35;    0.007347;       -1.170403;       -1.163056;       -1.163056;      1.82
       232;         46.4;      6;      4.24;      0.74;     899.15;    0.008542;       -1.171607;       -1.163065;       -1.163065;      1.35
       233;         46.6;      7;      6.68;      0.78;     996.41;    0.009466;       -1.172540;       -1.163074;       -1.163074;      0.87
       234;         46.8;      7;      6.60;      0.78;    1051.66;    0.009991;       -1.173074;       -1.163082;       -1.163082;      0.42
       235;         47.0;      7;      4.82;      0.75;    1053.24;    0.010006;       -1.173095;       -1.163089;       -1.163089;      0.09
       236;         47.2;      7;      7.10;      0.77;     993.59;    0.009440;       -1.172530;       -1.163091;       -1.163091;     -0.02
       237;         47.4;      7;      5.48;      0.77;     872.22;    0.008286;       -1.171374;       -1.163087;       -1.163087;      0.17
       238;         47.6;      7;      4.63;      0.76;     698.49;    0.006636;       -1.169712;       -1.163076;       -1.163076;      0.75
       239;         47.8;      7;      5.44;      0.75;     493.17;    0.004685;       -1.167744;       -1.163059;       -1.163059;      1.68
       240;         48.0;      6;      5.69;      0.76;     287.38;    0.002730;       -1.165767;       -1.163037;       -1.163037;      2.82
       241;         48.2;      6;      4.30;      0.78;     117.58;    0.001117;       -1.164133;       -1.163016;       -1.163016;      3.90
       242;         48.4;      4;      3.51;      0.76;      17.29;    0.000164;       -1.163168;       -1.163003;       -1.163003;      4.59
       243;         48.6;      3;      3.17;      0.77;       7.60;    0.000072;       -1.163074;       -1.163002;       -1.163002;      4.66
       244;         48.8;      4;      3.42;      0.80;      90.60;    0.000861;       -1.163874;       -1.163013;       -1.163013;      4.08
       245;         49.0;      6;      4.41;      0.77;     248.69;    0.002363;       -1.165395;       -1.163032;       -1.163032;      3.06
       246;         49.2;      6;      6.05;      0.77;     450.15;    0.004277;       -1.167331;       -1.163054;       -1.163054;      1.90
       247;         49.4;      7;      4.69;      0.77;     658.36;    0.006255;       -1.169328;       -1.163073;       -1.163073;      0.91
       248;         49.6;      7;      6.69;      0.76;     840.58;    0.007986;       -1.171071;       -1.163086;       -1.163086;      0.26
       249;         49.8;      7;      8.26;      0.76;     973.73;    0.009251;       -1.172342;       -1.163091;       -1.163091;     -0.01
       250;         50.0;      7;      7.24;      0.77;    1046.19;    0.009939;       -1.173029;       -1.163090;       -1.163090;      0.05
       251;         50.2;      7;      6.46;      0.77;    1056.66;    0.010039;       -1.173123;       -1.163084;       -1.163084;      0.34
       252;         50.4;      7;      7.41;      0.78;    1011.48;    0.009610;       -1.172685;       -1.163076;       -1.163076;      0.77
       253;         50.6;      7;      7.35;      0.77;     921.72;    0.008757;       -1.171823;       -1.163067;       -1.163067;      1.25
       254;         50.8;      6;      5.79;      0.75;     800.61;    0.007606;       -1.170664;       -1.163058;       -1.163058;      1.73
       255;         51.0;      6;      5.79;      0.76;     661.80;    0.006287;       -1.169337;       -1.163049;       -1.163049;      2.17
       256;         51.2;      6;      4.36;      0.76;     517.92;    0.004920;       -1.167963;       -1.163043;       -1.163043;      2.52
       257;         51.4;      6;      4.26;      0.74;     379.45;    0.003605;       -1.166643;       -1.163038;       -1.163038;      2.77
       258;         51.6;      5;      3.80;      0.76;     254.37;    0.002417;       -1.165451;       -1.163034;       -1.163034;      2.97
       259;         51.8;      5;      5.88;      0.76;     149.12;    0.001417;       -1.164448;       -1.163031;       -1.163031;      3.14
       260;         52.0;      4;      3.63;      0.76;      69.15;    0.000657;       -1.163685;       -1.163028;       -1.163028;      3.27
       261;         52.2;      4;      3.50;      0.76;      18.61;    0.000177;       -1.163204;       -1.163027;       -1.163027;      3.35
       262;         52.4;      4;      3.88;      0.77;       0.07;    0.000001;       -1.163027;       -1.163026;       -1.163026;      3.38
