# t_fs P_donor rate_au
2.199894732864819957e+02 0.000000000000000000e+00 -2.570899934121203856e+01
2.209894254377841776e+02 0.000000000000000000e+00 8.814648887583867998e-01
2.219893775890863310e+02 0.000000000000000000e+00 8.318805423067978211e+01
2.229893297403885128e+02 0.000000000000000000e+00 1.883592041398227366e+02
2.239892818916907515e+02 0.000000000000000000e+00 2.644821212557074546e+02
2.249892340429929334e+02 0.000000000000000000e+00 2.628783220775951008e+02
2.259891861942951152e+02 0.000000000000000000e+00 1.846791720018183582e+02
2.269891383455972971e+02 0.000000000000000000e+00 7.683694157613217612e+01
2.279890904968995073e+02 0.000000000000000000e+00 -9.602154154201661740e+00
2.289890426482016892e+02 0.000000000000000000e+00 -3.674688478742903897e+01
2.299889947995038710e+02 0.000000000000000000e+00 8.881101025382386993e+00
2.309889469508060529e+02 0.000000000000000000e+00 1.096738927237623500e+02
2.319888991021082632e+02 0.000000000000000000e+00 2.243648985373825724e+02
2.329888512534104450e+02 0.000000000000000000e+00 2.927339732227315494e+02
2.339888034047126268e+02 0.000000000000000000e+00 2.694436563788515855e+02
2.349887555560148371e+02 0.000000000000000000e+00 1.705632398011918553e+02
2.359887077073170190e+02 0.000000000000000000e+00 5.280720150258217416e+01
2.369886598586192008e+02 0.000000000000000000e+00 -3.033786107135984622e+01
2.379886120099213827e+02 0.000000000000000000e+00 -4.209450334826053819e+01
2.389885641612236213e+02 0.000000000000000000e+00 2.415863240105847254e+01
2.399885163125258032e+02 0.000000000000000000e+00 1.420859378111148033e+02
2.409884684638279566e+02 0.000000000000000000e+00 2.615186501667071184e+02
2.419884206151301385e+02 0.000000000000000000e+00 3.158447511761547730e+02
2.429883727664323771e+02 0.000000000000000000e+00 2.684021885120191655e+02
2.439883249177345590e+02 0.000000000000000000e+00 1.511715730902711812e+02
2.449882770690367408e+02 0.000000000000000000e+00 2.774280426987674986e+01
2.459882292203389227e+02 0.000000000000000000e+00 -4.751021954474613551e+01
2.469881813716411330e+02 0.000000000000000000e+00 -4.080241895885060188e+01
2.479881335229433148e+02 0.000000000000000000e+00 4.623934185000486252e+01
2.489880856742454966e+02 0.000000000000000000e+00 1.783302346007895096e+02
2.499880378255476785e+02 0.000000000000000000e+00 2.965262411872402026e+02
2.509879899768498888e+02 0.000000000000000000e+00 3.316219487452834755e+02
2.519879421281520706e+02 0.000000000000000000e+00 2.594738124693624286e+02
2.529878942794542525e+02 0.000000000000000000e+00 1.274019692751038377e+02
2.539878464307564343e+02 0.000000000000000000e+00 2.830555939635450713e+00
2.549877985820586446e+02 0.000000000000000000e+00 -6.018763001258980694e+01
2.559877507333608264e+02 0.000000000000000000e+00 -3.236756346147856789e+01
2.569877028846630083e+02 0.000000000000000000e+00 7.473666813132389564e+01
2.579876550359652470e+02 0.000000000000000000e+00 2.171848315002991967e+02
