t_fs P_1 P_2 Z
6.250000000000000000e+01 8.220730929880752935e-01 1.779269070119247342e-01 1.000277413117482972e+00
6.300000000000000000e+01 8.231630906029203665e-01 1.768369093970795225e-01 1.000211863773491805e+00
6.350000000000000000e+01 8.258263572707962297e-01 1.741736427292037148e-01 1.000156103938202534e+00
6.400000000000000000e+01 8.287629749802026824e-01 1.712370250197973176e-01 1.000109218087456009e+00
6.450000000000000000e+01 8.301600942453155607e-01 1.698399057546843005e-01 1.000070420093301049e+00
6.500000000000000000e+01 8.287603223634033567e-01 1.712396776365965878e-01 1.000038732522734897e+00
6.550000000000000000e+01 8.246759489581050317e-01 1.753240510418949127e-01 1.000013178755287280e+00
6.600000000000000000e+01 8.194324714728586923e-01 1.805675285271413633e-01 9.999931277755590431e-01
6.650000000000000000e+01 8.152517108294651260e-01 1.847482891705348740e-01 9.999779005788421715e-01
6.700000000000000000e+01 8.140281074398111327e-01 1.859718925601887840e-01 9.999660014647366868e-01
6.750000000000000000e+01 8.165328257610700025e-01 1.834671742389299698e-01 9.999551757003387609e-01
6.800000000000000000e+01 8.221534657892756170e-01 1.778465342107243830e-01 9.999435709996511434e-01
6.850000000000000000e+01 8.291755692981408465e-01 1.708244307018590702e-01 9.999308981891295023e-01
6.900000000000000000e+01 8.354096493744997964e-01 1.645903506255001481e-01 9.999184322222580690e-01
6.950000000000000000e+01 8.388984412550049008e-01 1.611015587449951825e-01 9.999079282595111362e-01
7.000000000000000000e+01 8.384663155769084275e-01 1.615336844230916002e-01 9.999005491362411568e-01
7.050000000000000000e+01 8.339608702184116984e-01 1.660391297815883016e-01 9.998966798449955284e-01
7.100000000000000000e+01 8.261587634550510151e-01 1.738412365449489294e-01 9.998964872639742874e-01
7.150000000000000000e+01 8.164251446275138102e-01 1.835748553724862175e-01 9.999004281706483921e-01
7.200000000000000000e+01 8.062828457954905881e-01 1.937171542045094397e-01 9.999091579360540605e-01
7.250000000000000000e+01 7.970404093652130317e-01 2.029595906347869128e-01 9.999229849890896027e-01
7.300000000000000000e+01 7.895641983088311777e-01 2.104358016911687945e-01 9.999414027471014155e-01
7.350000000000000000e+01 7.842033372960004467e-01 2.157966627039996088e-01 9.999630637202410188e-01
7.400000000000000000e+01 7.808262222856044987e-01 2.191737777143954735e-01 9.999861543058208291e-01
7.450000000000000000e+01 7.789162326448269003e-01 2.210837673551731553e-01 1.000008883690558070e+00
7.500000000000000000e+01 7.776894071869182579e-01 2.223105928130816866e-01 1.000029837242222941e+00
7.550000000000000000e+01 7.767537910752122521e-01 2.232462089247878589e-01 1.000049734399578227e+00
7.600000000000000000e+01 7.756544385063096625e-01 2.243455614936901710e-01 1.000069440009330179e+00
7.650000000000000000e+01 7.733226583790705488e-01 2.266773416209293956e-01 1.000087489422878173e+00
7.700000000000000000e+01 7.687367549276621359e-01 2.312632450723377808e-01 1.000102769933261193e+00
7.750000000000000000e+01 7.611130133742529669e-01 2.388869866257470331e-01 1.000114813068973874e+00
7.800000000000000000e+01 7.500700856298351260e-01 2.499299143701647352e-01 1.000123765314982593e+00
7.850000000000000000e+01 7.357115018568389786e-01 2.642884981431611324e-01 1.000130002549216357e+00
7.900000000000000000e+01 7.186101612164362828e-01 2.813898387835636616e-01 1.000133590706855369e+00
7.950000000000000000e+01 6.997087773639081298e-01 3.002912226360918702e-01 1.000133949723821969e+00
8.000000000000000000e+01 6.801586220226413237e-01 3.198413779773586763e-01 1.000129979206468844e+00
8.050000000000000000e+01 6.620639923666071791e-01 3.379360076333928764e-01 1.000130340497868087e+00
8.100000000000000000e+01 6.470436382620443627e-01 3.529563617379554707e-01 1.000117998335057212e+00
8.150000000000000000e+01 6.350491840607311866e-01 3.649508159392688134e-01 1.000093228539213452e+00
8.200000000000000000e+01 6.254695834883985395e-01 3.745304165116014605e-01 1.000060537441089137e+00
8.250000000000000000e+01 6.174766661342249163e-01 3.825233338657750282e-01 1.000027866932261755e+00
8.300000000000000000e+01 6.103929488513918367e-01 3.896070511486082188e-01 1.000003053647940288e+00
8.350000000000000000e+01 6.039297546973518838e-01 3.960702453026481162e-01 9.999894992702170748e-01
8.400000000000000000e+01 5.982253661395696698e-01 4.017746338604303302e-01 9.999841563874847239e-01
8.450000000000000000e+01 5.937250575421132437e-01 4.062749424578867563e-01 9.999790904078343923e-01
8.500000000000000000e+01 5.910052029793252393e-01 4.089947970206747052e-01 9.999650999238318683e-01
8.550000000000000000e+01 5.931273409664827856e-01 4.068726590335172699e-01 9.999342956253649550e-01
8.600000000000000000e+01 6.028929772011861754e-01 3.971070227988139356e-01 9.998792045844078213e-01
8.650000000000000000e+01 6.195014414893592614e-01 3.804985585106407386e-01 9.998022208611332395e-01
8.700000000000000000e+01 6.410538380933081815e-01 3.589461619066918741e-01 9.997149737301396222e-01
8.750000000000000000e+01 6.650345755804730752e-01 3.349654244195268693e-01 9.996380850446529021e-01
8.800000000000000000e+01 6.888156644035665632e-01 3.111843355964334923e-01 9.995975752283359217e-01
8.850000000000000000e+01 7.100593043644638502e-01 2.899406956355360943e-01 9.996174685557156492e-01
8.900000000000000000e+01 7.269690656158965814e-01 2.730309343841035297e-01 9.997118760530339099e-01
8.950000000000000000e+01 7.384151157238957319e-01 2.615848842761042126e-01 9.998807538654930216e-01
9.000000000000000000e+01 7.439948302825916127e-01 2.560051697174084429e-01 1.000110684506153147e+00
9.050000000000000000e+01 7.448246245064763515e-01 2.551753754935237595e-01 1.000374022957106979e+00
9.100000000000000000e+01 7.426262523076090361e-01 2.573737476923910195e-01 1.000654307440021817e+00
9.150000000000000000e+01 7.388345744348880917e-01 2.611654255651119638e-01 1.000921263560706986e+00
9.200000000000000000e+01 7.352236638122320311e-01 2.647763361877680244e-01 1.001142814035566930e+00
