t_fs P_1 P_2 Z
9.900000000000000000e+01 4.801162047721811987e-01 5.198837952278188013e-01 9.989940524501972341e-01
9.950000000000000000e+01 4.808903742287881089e-01 5.191096257712117801e-01 9.990499940875907647e-01
1.000000000000000000e+02 4.809806571638722272e-01 5.190193428361277173e-01 9.991160262696170413e-01
1.005000000000000000e+02 4.802554753114124941e-01 5.197445246885875614e-01 9.991910565507053921e-01
1.010000000000000000e+02 4.788625427769734877e-01 5.211374572230265123e-01 9.992723579200679662e-01
1.015000000000000000e+02 4.773360589013395661e-01 5.226639410986604339e-01 9.993565784252049777e-01
1.020000000000000000e+02 4.764797449094219650e-01 5.235202550905779795e-01 9.994404754831511806e-01
1.025000000000000000e+02 4.767644247326845997e-01 5.232355752673153448e-01 9.995213841054553239e-01
1.030000000000000000e+02 4.779531492981848873e-01 5.220468507018151127e-01 9.995970705508190335e-01
1.035000000000000000e+02 4.793089220019984831e-01 5.206910779980015169e-01 9.996653033525719767e-01
1.040000000000000000e+02 4.801829906312520269e-01 5.198170093687479731e-01 9.997237330947279510e-01
1.045000000000000000e+02 4.804310886818952131e-01 5.195689113181047869e-01 9.997703499892515167e-01
1.050000000000000000e+02 4.803164592053026927e-01 5.196835407946973628e-01 9.998041908197294880e-01
1.055000000000000000e+02 4.804033736025152823e-01 5.195966263974846067e-01 9.998258332315981267e-01
1.060000000000000000e+02 4.809718603062189679e-01 5.190281396937810321e-01 9.998368037036011735e-01
1.065000000000000000e+02 4.817145307037447588e-01 5.182854692962552967e-01 9.998394482573738085e-01
1.070000000000000000e+02 4.823680645945398471e-01 5.176319354054601529e-01 9.998361751963209532e-01
1.075000000000000000e+02 4.829341769093170589e-01 5.170658230906829411e-01 9.998291059434643024e-01
1.080000000000000000e+02 4.835857472228168308e-01 5.164142527771832247e-01 9.998199330849432132e-01
1.085000000000000000e+02 4.844139819575715711e-01 5.155860180424284289e-01 9.998098691778168901e-01
1.090000000000000000e+02 4.853043441099402777e-01 5.146956558900597223e-01 9.997996214899370626e-01
1.095000000000000000e+02 4.860532518692646797e-01 5.139467481307353758e-01 9.997894095255537295e-01
1.100000000000000000e+02 4.865617899409442892e-01 5.134382100590556552e-01 9.997790672124375888e-01
1.105000000000000000e+02 4.874242280633545588e-01 5.125757719366454968e-01 9.997681803183486871e-01
1.110000000000000000e+02 4.889572944544223754e-01 5.110427055455776246e-01 9.997564568502911309e-01
1.115000000000000000e+02 4.903898165405031762e-01 5.096101834594968238e-01 9.997437410387617351e-01
1.120000000000000000e+02 4.906597621271430176e-01 5.093402378728569824e-01 9.997301515662525562e-01
1.125000000000000000e+02 4.889512083998315828e-01 5.110487916001683617e-01 9.997160464883689812e-01
1.130000000000000000e+02 4.853053307749902179e-01 5.146946692250098376e-01 9.997018709690761451e-01
1.135000000000000000e+02 4.809143232492850140e-01 5.190856767507150415e-01 9.996879464531941428e-01
1.140000000000000000e+02 4.778109377418235937e-01 5.221890622581764063e-01 9.996743014060964772e-01
1.145000000000000000e+02 4.779715908936996160e-01 5.220284091063004395e-01 9.996605994409544227e-01
1.150000000000000000e+02 4.822234257678719715e-01 5.177765742321279729e-01 9.996461307134417718e-01
1.155000000000000000e+02 4.899483814447426755e-01 5.100516185552572690e-01 9.994633436992571562e-01
1.160000000000000000e+02 4.990751067832702170e-01 5.009248932167298385e-01 9.994435042146294634e-01
1.165000000000000000e+02 5.062009012837200839e-01 4.937990987162799161e-01 9.994194331953432098e-01
1.170000000000000000e+02 5.089808017775555582e-01 4.910191982224444418e-01 9.993909416593994566e-01
1.175000000000000000e+02 5.071714206554938098e-01 4.928285793445061347e-01 9.993593133054454736e-01
1.180000000000000000e+02 5.027158731902696687e-01 4.972841268097303313e-01 9.993274692580227381e-01
1.185000000000000000e+02 4.986963116088470871e-01 5.013036883911529129e-01 9.992995574220091548e-01
1.190000000000000000e+02 4.976504532198291475e-01 5.023495467801708525e-01 9.992801353348284010e-01
1.195000000000000000e+02 5.001179187110226243e-01 4.998820812889774312e-01 9.992732519302739425e-01
1.200000000000000000e+02 5.042419554643471358e-01 4.957580445356529197e-01 9.992816839946232488e-01
