# w J_total  J_DrudeLorentz  J_BrownianOscillator
3.741870935467734398e+02 1.810161078841427980e+02 1.429253158563567467e+02 3.809079202778604412e+01
3.761880940470235259e+02 1.819982000401754476e+02 1.433479847380159811e+02 3.865021530215946655e+01
3.781890945472736689e+02 1.829867938547964741e+02 1.437668297829444555e+02 3.921996407185201861e+01
3.801900950475238119e+02 1.839821517890778750e+02 1.441818624229777299e+02 3.980028936610015222e+01
3.821910955477738980e+02 1.849845435250374521e+02 1.445930942691291818e+02 4.039144925590827029e+01
3.841920960480240410e+02 1.859942461771896660e+02 1.450005371079995200e+02 4.099370906919016022e+01
3.861930965482741840e+02 1.870115445104805190e+02 1.454042028982044030e+02 4.160734161227610173e+01
3.881940970485242701e+02 1.880367311647319468e+02 1.458041037668212141e+02 4.223262739791072562e+01
3.901950975487744131e+02 1.890701068857165126e+02 1.462002520058551909e+02 4.286985487986132881e+01
3.921960980490245561e+02 1.901119807629746106e+02 1.465926600687259054e+02 4.351932069424869098e+01
3.941970985492746422e+02 1.911626704744793983e+02 1.469813405667740085e+02 4.418132990770538981e+01
3.961980990495247852e+02 1.922225025382458057e+02 1.473663062657898877e+02 4.485619627245592511e+01
3.981990995497749282e+02 1.932918125709659307e+02 1.477475700825635272e+02 4.554424248840238931e+01
4.002001000500250711e+02 1.943709455537426152e+02 1.481251450814568784e+02 4.624580047228573676e+01
4.022011005502751573e+02 1.954602561049771907e+02 1.484990444709993938e+02 4.696121163397778986e+01
4.042021010505253003e+02 1.965601087604482586e+02 1.488692816005064969e+02 4.769082715994174748e+01
4.062031015507754432e+02 1.976708782606001478e+02 1.492358699567217855e+02 4.843500830387836231e+01
4.082041020510255294e+02 1.987929498450368158e+02 1.495988231604838177e+02 4.919412668455299809e+01
4.102051025512756723e+02 1.999267195541898730e+02 1.499581549634175133e+02 4.996856459077235968e+01
4.122061030515258153e+02 2.010725945381009296e+02 1.503138792446503658e+02 5.075871529345054967e+01
4.142071035517759015e+02 2.022309933722256403e+02 1.506660100075542346e+02 5.156498336467139865e+01
4.162081040520260444e+02 2.034023463801301546e+02 1.510145613765135124e+02 5.238778500361662793e+01
4.182091045522761874e+02 2.045870959629062895e+02 1.513595475937187302e+02 5.322754836918755927e+01
4.202101050525262735e+02 2.057856969350895895e+02 1.517009830159875321e+02 5.408471391910206449e+01
4.222111055527764165e+02 2.069986168668077369e+02 1.520388821116120823e+02 5.495973475519566165e+01
4.242121060530265595e+02 2.082263364318313279e+02 1.523732594572339281e+02 5.585307697459739273e+01
4.262131065532766456e+02 2.094693497611333726e+02 1.527041297347464877e+02 5.676522002638689202e+01
4.282141070535267886e+02 2.107281648014912037e+02 1.530315077282252219e+02 5.769665707326598181e+01
4.302151075537769316e+02 2.120033036785845013e+02 1.533554083208861698e+02 5.864789535769833861e+01
4.322161080540270177e+02 2.132953030639547762e+02 1.536758464920727363e+02 5.961945657188204706e+01
4.342171085542771607e+02 2.146047145450916105e+02 1.539928373142710427e+02 6.061187723082057488e+01
4.362181090545273037e+02 2.159321049978033216e+02 1.543063959501544957e+02 6.162570904764881874e+01
4.382191095547774466e+02 2.172780569599074170e+02 1.546165376496567774e+02 6.266151931025063249e+01
4.402201100550275328e+02 2.186431690051454098e+02 1.549232777470751614e+02 6.371989125807023413e+01
4.422211105552776758e+02 2.200280561160757316e+02 1.552266316582022228e+02 6.480142445787350880e+01
4.442221110555278187e+02 2.214333500545405968e+02 1.555266148774879866e+02 6.590673517705261020e+01
4.462231115557779049e+02 2.228596997281212566e+02 1.558232429752313237e+02 6.703645675288994710e+01
4.482241120560280478e+02 2.243077715508025562e+02 1.561165315948019838e+02 6.819123995600057242e+01
4.502251125562781908e+02 2.257782497958489216e+02 1.564064964498922450e+02 6.937175334595667664e+01
4.522261130565282770e+02 2.272718369386611243e+02 1.566931533217986043e+02 7.057868361686252001e+01
4.542271135567784199e+02 2.287892539871220947e+02 1.569765180567347045e+02 7.181273593038737602e+01
4.562281140570285629e+02 2.303312407966546971e+02 1.572566065631737047e+02 7.307463423348100662e+01
4.582291145572786490e+02 2.318985563669072008e+02 1.575334348092217169e+02 7.436512155768549803e+01
