# w  J_DrudeLorentz  J_BrownianOscillator  J_total
3.121560780390195191e+02 1.596189882611964492e+02 1.278730887320402303e+02 3.174589952915621183e+01
3.141570785392696621e+02 1.606364532754854508e+02 1.284188181272369604e+02 3.221763514824848329e+01
3.161580790395198051e+02 1.616581583535164555e+02 1.289604783662773002e+02 3.269767998723914104e+01
3.181590795397698912e+02 1.626843065819868457e+02 1.294980734813774745e+02 3.318623310060937115e+01
3.201600800400200342e+02 1.637151068264413425e+02 1.300316077999660251e+02 3.368349902647531735e+01
3.221610805402701772e+02 1.647507738954854801e+02 1.305610859409447357e+02 3.418968795454074439e+01
3.241620810405202633e+02 1.657915287101620265e+02 1.310865128109390412e+02 3.470501589922299246e+01
3.261630815407704063e+02 1.668375984786205777e+02 1.316078936005389437e+02 3.522970487808164108e+01
3.281640820410205492e+02 1.678892168762093888e+02 1.321252337805311470e+02 3.576398309567823475e+01
3.301650825412706354e+02 1.689466242311185624e+02 1.326385390981241983e+02 3.630808513299437124e+01
3.321660830415207784e+02 1.700100677157008136e+02 1.331478155731675486e+02 3.686225214253327920e+01
3.341670835417709213e+02 1.710798015435925095e+02 1.336530694943656670e+02 3.742673204922684960e+01
3.361680840420210643e+02 1.721560871727556048e+02 1.341543074154883755e+02 3.800177975726722224e+01
3.381690845422711504e+02 1.732391935145553248e+02 1.346515361515784832e+02 3.858765736297684867e+01
3.401700850425212934e+02 1.743293971489836736e+02 1.351447627751578864e+02 3.918463437382579428e+01
3.421710855427714364e+02 1.754269825461312564e+02 1.356339946124332130e+02 3.979298793369805054e+01
3.441720860430215225e+02 1.765322422940028844e+02 1.361192392395019226e+02 4.041300305450096175e+01
3.461730865432716655e+02 1.776454773327624252e+02 1.366005044785600546e+02 4.104497285420237773e+01
3.481740870435218085e+02 1.787669971954813661e+02 1.370777983941126195e+02 4.168919880136875378e+01
3.501750875437718946e+02 1.798971202554527622e+02 1.375511292891873723e+02 4.234599096626538994e+01
3.521760880440220376e+02 1.810361739801185195e+02 1.380205057015537307e+02 4.301566827856479591e+01
3.541770885442721806e+02 1.821844951916388027e+02 1.384859363999466098e+02 4.369855879169220003e+01
3.561780890445222667e+02 1.833424303341153632e+02 1.389474303802969644e+02 4.439499995381841302e+01
3.581790895447724097e+02 1.845103357474581571e+02 1.394049968619701190e+02 4.510533888548802395e+01
3.601800900450225527e+02 1.856885779478577092e+02 1.398586452840117715e+02 4.582993266384592346e+01
3.621810905452726388e+02 1.868775339148012335e+02 1.403083853014037743e+02 4.656914861339744505e+01
3.641820910455227818e+02 1.880775913845349692e+02 1.407542267813295496e+02 4.732336460320540539e+01
3.661830915457729247e+02 1.892891491498424728e+02 1.411961797994507606e+02 4.809296935039170506e+01
3.681840920460230109e+02 1.905126173659670030e+02 1.416342546361954078e+02 4.887836272977160945e+01
3.701850925462731539e+02 1.917484178624623610e+02 1.420684617730586865e+02 4.967995608940366026e+01
3.721860930465232968e+02 1.929969844607051641e+02 1.424988118889171176e+02 5.049817257178806074e+01
3.741870935467734398e+02 1.942587632967482421e+02 1.429253158563567467e+02 5.133344744039148821e+01
3.761880940470235259e+02 1.955342131491290729e+02 1.433479847380159811e+02 5.218622841111309896e+01
3.781890945472736689e+02 1.968238057711826627e+02 1.437668297829444555e+02 5.305697598823822148e+01
3.801900950475238119e+02 1.981280262273267851e+02 1.441818624229777299e+02 5.394616380434905523e+01
3.821910955477738980e+02 1.994473732327062407e+02 1.445930942691291818e+02 5.485427896357707311e+01
3.841920960480240410e+02 2.007823594954868724e+02 1.450005371079995200e+02 5.578182238748735955e+01
3.861930965482741840e+02 2.021335120609851970e+02 1.454042028982044030e+02 5.672930916278079394e+01
3.881940970485242701e+02 2.035013726567062520e+02 1.458041037668212141e+02 5.769726888988503077e+01
3.901950975487744131e+02 2.048864980372335367e+02 1.462002520058551909e+02 5.868624603137834583e+01
3.921960980490245561e+02 2.062894603277751457e+02 1.465926600687259054e+02 5.969680025904922616e+01
3.941970985492746422e+02 2.077108473650153826e+02 1.469813405667740085e+02 6.072950679824136699e+01
3.961980990495247852e+02 2.091512630337530823e+02 1.473663062657898877e+02 6.178495676796319458e+01
3.981990995497749282e+02 2.106113275976172758e+02 1.477475700825635272e+02 6.286375751505374154e+01
4.002001000500250711e+02 2.120916780219493774e+02 1.481251450814568784e+02 6.396653294049249894e+01
4.022011005502751573e+02 2.135929682867143811e+02 1.484990444709993938e+02 6.509392381571500152e+01
4.042021010505253003e+02 2.151158696870556923e+02 1.488692816005064969e+02 6.624658808654918118e+01
4.062031015507754432e+02 2.166610711188392031e+02 1.492358699567217855e+02 6.742520116211741765e+01
4.082041020510255294e+02 2.182292793462376608e+02 1.495988231604838177e+02 6.863045618575384310e+01
4.102051025512756723e+02 2.198212192480802400e+02 1.499581549634175133e+02 6.986306428466274099e+01
4.122061030515258153e+02 2.214376340393421003e+02 1.503138792446503658e+02 7.112375479469173456e+01
4.142071035517759015e+02 2.230792854637633980e+02 1.506660100075542346e+02 7.241327545620916339e+01
4.162081040520260444e+02 2.247469539531691112e+02 1.510145613765135124e+02 7.373239257665561297e+01
4.182091045522761874e+02 2.264414387486026499e+02 1.513595475937187302e+02 7.508189115488393384e+01
4.202101050525262735e+02 2.281635579778957776e+02 1.517009830159875321e+02 7.646257496190825975e+01
4.222111055527764165e+02 2.299141486837558830e+02 1.520388821116120823e+02 7.787526657214380066e+01
4.242121060530265595e+02 2.316940667958718905e+02 1.523732594572339281e+02 7.932080733863797661e+01
4.262131065532766456e+02 2.335041870399105051e+02 1.527041297347464877e+02 8.080005730516401741e+01
4.282141070535267886e+02 2.353454027755923903e+02 1.530315077282252219e+02 8.231389504736718266e+01
4.302151075537769316e+02 2.372186257553062205e+02 1.533554083208861698e+02 8.386321743442006493e+01
4.322161080540270177e+02 2.391247857939276571e+02 1.536758464920727363e+02 8.544893930185492081e+01
4.342171085542771607e+02 2.410648303396616825e+02 1.539928373142710427e+02 8.707199302539065400e+01
4.362181090545273037e+02 2.430397239348179710e+02 1.543063959501544957e+02 8.873332798466347526e+01
4.382191095547774466e+02 2.450504475544541947e+02 1.546165376496567774e+02 9.043390990479740310e+01
4.402201100550275328e+02 2.470979978097867047e+02 1.549232777470751614e+02 9.217472006271154328e+01
4.422211105552776758e+02 2.491833860021604039e+02 1.552266316582022228e+02 9.395675434395818115e+01
4.442221110555278187e+02 2.513076370121999048e+02 1.555266148774879866e+02 9.578102213471191817e+01
4.462231115557779049e+02 2.534717880075259018e+02 1.558232429752313237e+02 9.764854503229456384e+01
4.482241120560280478e+02 2.556768869511159892e+02 1.561165315948019838e+02 9.956035535631399114e+01
4.502251125562781908e+02 2.579239908910205941e+02 1.564064964498922450e+02 1.015174944411283775e+02
4.522261130565282770e+02 2.602141640107209923e+02 1.566931533217986043e+02 1.035210106889223738e+02
4.542271135567784199e+02 2.625484754179334459e+02 1.569765180567347045e+02 1.055719573611987698e+02
4.562281140570285629e+02 2.649279966481378779e+02 1.572566065631737047e+02 1.076713900849641732e+02
4.582291145572786490e+02 2.673537988575479289e+02 1.575334348092217169e+02 1.098203640483262262e+02
4.602301150575287920e+02 2.698269496786562058e+02 1.578070188200219661e+02 1.120199308586342255e+02
4.622311155577789350e+02 2.723485097098944152e+02 1.580773746751892190e+02 1.142711350347051820e+02
4.642321160580290780e+02 2.749195286093802792e+02 1.583445185062751648e+02 1.165750101031051003e+02
4.662331165582791641e+02 2.775410407611818187e+02 1.586084664942647180e+02 1.189325742669170864e+02
4.682341170585293071e+02 2.802140604810707032e+02 1.588692348671029038e+02 1.213448256139677852e+02
4.702351175587794501e+02 2.829395767273762203e+02 1.591268398972526086e+02 1.238127368301236402e+02
4.722361180590295362e+02 2.857185472813486058e+02 1.593812978992832257e+02 1.263372493820653517e+02
4.742371185592796792e+02 2.885518923604312249e+02 1.596326252274903084e+02 1.289192671329409166e+02
4.762381190595298222e+02 2.914404876270963314e+02 1.598808382735456632e+02 1.315596493535506681e+02
4.782391195597799083e+02 2.943851565554790568e+02 1.601259534641787354e+02 1.342592030913003214e+02
4.802401200600300513e+02 2.973866621180311540e+02 1.603679872588883768e+02 1.370186748591427488e+02
4.822411205602801942e+02 3.004456977548910572e+02 1.606069561476857643e+02 1.398387416072053213e+02
4.842421210605302804e+02 3.035628775897428113e+02 1.608428766488675308e+02 1.427200009408752521e+02
4.862431215607804234e+02 3.067387258577069815e+02 1.610757653068203012e+02 1.456629605508866803e+02
4.882441220610305663e+02 3.099736655134131524e+02 1.613056386898550443e+02 1.486680268235580797e+02
4.902451225612806525e+02 3.132680059909669694e+02 1.615325133880724877e+02 1.517354926028944817e+02
4.922461230615307954e+02 3.166219300922049342e+02 1.617564060112588322e+02 1.548655240809461020e+02
4.942471235617809384e+02 3.200354799855709871e+02 1.619773331868117623e+02 1.580581467987592248e+02
4.962481240620310246e+02 3.235085423053383806e+02 1.621953115576969537e+02 1.613132307476414269e+02
4.982491245622811675e+02 3.270408323498927530e+02 1.624103577804345093e+02 1.646304745694582152e+02
