time_fs,full_10state_c60_mean,full_10state_c60_ci95,reduced_4d3a_c60_mean,reduced_4d3a_c60_ci95,partition_acceptor_mean,donor_acceptor_coherence_mean,donor_acceptor_coherence_ci95,participation_ratio_mean
46.0,0.19492544920843838,0.08924443970515994,0.19231094768014956,0.09461680189372203,0.19140868447714698,0.3450337287227182,0.07802056220419804,3.424731661521876
46.5,0.19705537270915527,0.0907986830201039,0.19482928303888994,0.09581298778210527,0.193906936119399,0.34584058397591655,0.07919643701266163,3.460811514138323
47.0,0.19942842066345515,0.09164483718740016,0.19738927440038784,0.09640110217216896,0.19644616990784908,0.347872693107118,0.07885425900582523,3.48868579185347
47.5,0.20220619383132585,0.09197448315877198,0.20012723377550118,0.09652863770559002,0.199167393364212,0.35114903102254746,0.07695624668423283,3.5047384990319363
48.0,0.2055208604737556,0.09210097184891092,0.20318630845378655,0.09641296453414695,0.2022193679143724,0.3552703208118335,0.0740925372726457,3.505137575658864
48.5,0.20943008485812795,0.09236159395672293,0.2066755582441914,0.09631051821619074,0.205713239461197,0.359666413479284,0.07114268551042038,3.4867792710582344
49.0,0.21386624511275,0.09302432332231472,0.21062475393621152,0.09646208471672695,0.2096792674849463,0.36385064945656703,0.0688511180948385,3.451699726044358
49.5,0.21868408877610163,0.09423129844780957,0.2149690235838976,0.0970378186774483,0.21404659647105215,0.36751071880767616,0.06760984523413238,3.4105836578802227
50.0,0.22368183800045638,0.09594420298723001,0.21953715607670668,0.09806491834671506,0.21863929259029175,0.3705159334047787,0.06740961398671647,3.3783761212414043
50.5,0.22860852268698006,0.09795583254618019,0.22408422587990312,0.0994114529232496,0.2232053277789711,0.3729097429561541,0.06790461303762911,3.365984344438403
51.0,0.23326610716949614,0.09993211793249207,0.22833568728132952,0.10080314796799975,0.2274648733579348,0.3748867861503514,0.06856768134154448,3.3772122828420117
51.5,0.23746113030815988,0.10150472062181225,0.23203942406090028,0.10189968850118158,0.23116408542660363,0.37671269438886934,0.06890055400719393,3.4116922262477383
52.0,0.24100887885318678,0.10236607958709894,0.23499606764483616,0.1024009674689791,0.23410473186788897,0.3785783439593308,0.06864715379760171,3.4680572404686023
52.5,0.243780112906648,0.10235408880725325,0.23707744174506437,0.10213915996068355,0.23616440016344323,0.3804882775790663,0.06790115665794695,3.5446731428932345
53.0,0.2456944178575564,0.10147197370691477,0.2382176979013461,0.10112331117100877,0.23728152712680176,0.38224826936461154,0.0670365698381775,3.6344794512367904
53.5,0.2466471335555569,0.09990731613036712,0.23840439784104875,0.09952281497220292,0.23744986547735344,0.383563643564569,0.06650245138903649,3.7168934976745556
54.0,0.24674493456999547,0.09790371118383767,0.23765299381732868,0.09759827819569589,0.23668976434943073,0.3841565165964626,0.06661686001069776,3.767658745409002
54.5,0.2460803500125857,0.09579610573355084,0.23602177886675796,0.095621067442892,0.2350624042576876,0.38387660683730723,0.06742810609291688,3.7920853225796742
55.0,0.2447966925666571,0.09387746819210517,0.2336074197178824,0.09380231921800133,0.2326653490544212,0.3827468974155074,0.0686983711570909,3.821334237037336
55.5,0.24307935330526753,0.09237212522352217,0.23056306806337684,0.09225259982439864,0.22965274315515033,0.3809777565866063,0.06998829385854942,3.8772823500264004
56.0,0.24106638264960828,0.09137029582180212,0.22709370122277245,0.09097158364489112,0.2262290294796257,0.3789028026553865,0.07084265864156361,3.9631800440059175
56.5,0.23886126013374268,0.09082018024851837,0.22343749856573228,0.08987028168912481,0.22263082973230675,0.376853592965011,0.07101470092250889,4.068426485318585
57.0,0.2365381091174686,0.09059350864390164,0.21984381197656316,0.08882889224893611,0.21910476120749137,0.3750576046878399,0.07056166616283115,4.1699797164504915
57.5,0.23417779696624605,0.09053858115971887,0.21652787322907213,0.08775597234740003,0.215861163854609,0.3736254078983899,0.06971263225847467,4.23383716283187
58.0,0.23191441868083063,0.09053803523682646,0.21365425206949434,0.08663858087307293,0.21305723376293922,0.37258976591805776,0.06869167199048146,4.2308663128072554
58.5,0.22991024716004688,0.09050469255720874,0.2113090300467669,0.08554669695803069,0.2107704545164025,0.37191772062877126,0.06763897854421302,4.164349459870818
59.0,0.22833872488282783,0.09039871831701903,0.2095139547560239,0.08460735847415225,0.20901330827253478,0.37151994427133417,0.06664235147650442,4.070117259791083
59.5,0.22733323963453186,0.09022268968679359,0.20825434525094302,0.08394633748638408,0.20776365509724187,0.37128877503229907,0.06577433037890161,3.9856954500195934
60.0,0.22695988342374074,0.09001196636809497,0.2075108532086099,0.0836320701599117,0.20699682184482207,0.37114536631042555,0.06510703777672591,3.932321972281245
60.5,0.2272243064817156,0.08981443234580752,0.20729028927621687,0.08365279027442223,0.20671915829868817,0.3710802349877119,0.06470424996283959,3.9169250612936857
61.0,0.2280904532990661,0.08968889010523914,0.20764304294648334,0.08393949271777248,0.20698432280395035,0.3711568620857564,0.06461059293080394,3.936571199437715
61.5,0.22954099507517403,0.08970691649909764,0.2086337541848819,0.08443043738191788,0.207864630107958,0.3714487135528105,0.06486277435403058,3.9801553691623384
62.0,0.23161181815550905,0.0899630944524033,0.21031237632733135,0.08512568863183914,0.2094192518211723,0.37198137590249686,0.0654941868220998,4.030941521303177
62.5,0.23435972184524748,0.09057102845311647,0.2126679995890805,0.0860909490891833,0.21164753412586448,0.372711078689573,0.06648804940856752,4.072172623004433
63.0,0.23780901640444516,0.09162578918190471,0.2156069060173224,0.08739285316933113,0.21446508655886726,0.3735868165368776,0.0676757706151602,4.094937273517018
63.5,0.24187134753406636,0.09311632350751121,0.21894689490449587,0.08899958778374727,0.2176976592753634,0.37462733556447203,0.06870197644334859,4.101900220183472
64.0,0.246307184839953,0.09488701618203127,0.22243546495220407,0.09074213812795194,0.22109843796185508,0.3759092714892785,0.06916681808602007,4.103565095546666
64.5,0.2507397973110531,0.09666715544138187,0.22578863333211366,0.0923594247696473,0.22438848986767684,0.37747961905235095,0.06884350838089182,4.110774644343865
65.0,0.25472863727987133,0.09818216268937147,0.22873499665784033,0.09361128233279374,0.22729977320269285,0.3792715455516359,0.0677773916718797,4.128163985373715
65.5,0.2578642952021334,0.09925915046063549,0.23104749057096452,0.09436718049131027,0.22960746524328396,0.38110589584848337,0.06620623189012005,4.15070432773409
66.0,0.25987593672055626,0.0998834755911569,0.23257875313186097,0.09463484662566038,0.23116561332916655,0.3827577825840893,0.06442804498101702,4.165609047578867
66.5,0.2606420582521209,0.10014818590318171,0.23326839546572747,0.0945155434302056,0.23191250917358555,0.3840250744460338,0.06271035658822618,4.159330127550975
67.0,0.2602382447547402,0.10022073959942532,0.2331542225490162,0.0941327500404631,0.23188394086196346,0.38479301122791887,0.06125221752399499,4.12595609198512
67.5,0.2588414542721625,0.10021121544727692,0.23236700208932937,0.09359250770824297,0.23120542229505806,0.3850527648049954,0.06017115297504935,4.069602950530397
68.0,0.25670370237531454,0.10014595025769288,0.23111247984286779,0.09297196630748417,0.2300758327651648,0.3848962706958298,0.05949138961274182,3.9986719139188196
68.5,0.254236110414766,0.10006404653328455,0.2296710742283062,0.09234149370928574,0.22876751017007152,0.38450694431818644,0.05913074096210876,3.9203008292937676
69.0,0.25189049763791777,0.09997813285954914,0.22837733261580856,0.09179293492006317,0.2276064640980487,0.3841201132979804,0.058931291712383586,3.840294949355939
69.5,0.2501769530269818,0.09992468193246595,0.22759526567069283,0.09144877942653717,0.22695038734017664,0.3839834516346618,0.05871876981750867,3.7649389398870605
70.0,0.24962376345572274,0.099994820945049,0.2277019135533926,0.09145172556944599,0.22717056068292077,0.38432199952971363,0.05837216402370511,3.7015058408961137
70.5,0.2507031481733454,0.10032564643984615,0.22905228933491478,0.09194205266157356,0.22861870135261286,0.38530085301412215,0.05787372998945532,3.656839292588554
71.0,0.25377680989030577,0.10108544535445978,0.2319376273772693,0.09302375222231458,0.23158456061943103,0.3870207405221602,0.057255737824231996,3.6346117826004374
71.5,0.25898640001246054,0.1023970095333349,0.23652261678224754,0.09474166262887179,0.2362322367469129,0.38949093566034076,0.05656134505176328,3.6345337042086214
72.0,0.2662745506665332,0.10432172698074792,0.24278058110681303,0.09704800811201783,0.2425344385591761,0.3926207444163302,0.055802402412416185,3.653749979715447
72.5,0.27519316221915147,0.10680241040513051,0.25045508257358884,0.0997735492482432,0.2502334329215277,0.396226854578445,0.05498496626898436,3.6900684979927405
73.0,0.2851349833148019,0.10965044901612205,0.25905049721421397,0.102607181379634,0.25883035022857503,0.4000821483132543,0.05412082968581308,3.743843445915298
73.5,0.2953349545891597,0.11249178224697917,0.2678822380481978,0.10510930758909957,0.26763795779710076,0.4039923620898012,0.05322707445271302,3.8172090644370207
74.0,0.30492163375955583,0.11481830495121034,0.27618441343611566,0.10678236185294275,0.27588994504206404,0.407848845186433,0.05231645524638516,3.9111704959541185
74.5,0.31317662536808666,0.11605642552688734,0.28324185292302884,0.1071917823914484,0.2828731327810373,0.41160922070771616,0.05139564321532394,4.0212804437168455
75.0,0.3195425470322194,0.11577943189860015,0.2885061488722106,0.10608066238067351,0.28804592138864005,0.41523213408164217,0.050470756753559005,4.133444630142035
