time_fs,experiment_digitized,plain_mean,plain_sem,plain_ci95_low,plain_ci95_high,boltzmann_mean,boltzmann_sem,boltzmann_ci95_low,boltzmann_ci95_high,boltzmann_minus_plain
30.5,0.261422763,0.10232434724931527,0.022029417527220447,0.052490342596609896,0.15215835190202065,0.43908319177117566,0.05635646962935806,0.3115960003259538,0.5665703832163975,0.3367588445218604
31.0,0.26420731599999997,0.10559213257205868,0.02186145225311848,0.05613809176727382,0.15504617337684354,0.44666344622548637,0.05438314038555378,0.32364023566380584,0.5696866567871669,0.3410713136534277
31.5,0.266991869,0.10906467409665224,0.021465793595233665,0.06050567535884676,0.15762367283445772,0.4650115569591877,0.05398264106585016,0.3428943388022929,0.5871287751160825,0.3559468828625355
32.0,0.26977642199999996,0.11257267047437873,0.021086710087404193,0.06487121820912956,0.1602741227396279,0.4899448269217799,0.0549899997493649,0.3655488051034089,0.6143408487401508,0.37737215644740113
32.5,0.272560975,0.11539119475962571,0.020438322661555607,0.06915649675406443,0.161625892765187,0.5180682278436637,0.054611616098620364,0.3945281693111314,0.6416082863761959,0.40267703308403796
33.0,0.275345528,0.11715639812296777,0.01976074873243705,0.07245447883452524,0.1618583174114103,0.5548020131464906,0.049593442871346885,0.44261385112447765,0.6669901751685035,0.43764561502352284
33.5,0.278130081,0.11780912544277056,0.01887841280643205,0.07510318868938373,0.16051506219615738,0.5747073579553574,0.04703679903792258,0.46830272609399204,0.6811119898167228,0.4568982325125869
34.0,0.280914634,0.11752946087458165,0.01811124660901076,0.07655897462979094,0.15849994711937235,0.5803440046178902,0.042756097595603226,0.4836229921863074,0.677065017049473,0.4628145437433085
34.5,0.28369918699999996,0.11731914231260307,0.017353139079926024,0.07806361444494503,0.1565746701802611,0.564437379036286,0.04071517747457079,0.4723332486753098,0.6565415093972622,0.4471182367236829
35.0,0.28648374,0.116426519333614,0.016844199833961973,0.0783222920266711,0.1545307466405569,0.5630187634668744,0.04919786651039017,0.4517254573432555,0.6743120695904934,0.4465922441332604
35.5,0.289325881,0.11585543174591298,0.016814790759093853,0.07781773238833589,0.15389313110349007,0.559181267795686,0.05027717216946264,0.4454464026444873,0.6729161329468847,0.44332583604977305
36.0,0.29216802199999997,0.11516304405613778,0.017272059196668594,0.0760909316271539,0.15423515648512165,0.556679792698546,0.05037920802954299,0.4427141063955985,0.6706454790014934,0.4415167486424082
36.5,0.295010163,0.11528129714224547,0.018205478674722875,0.07409764315503356,0.15646495112945738,0.5531947449524235,0.05219410501398876,0.43512347643626975,0.6712660134685772,0.43791344781017805
37.0,0.297852304,0.11647883315020983,0.01960673352831936,0.07212532045895056,0.1608323458414691,0.5453653983464906,0.05849437207871459,0.41304193556197355,0.6776888611310076,0.4288865651962807
37.5,0.300694445,0.11820176714466017,0.02109071114934937,0.07049126384847268,0.16591227044084766,0.5625122641072431,0.04645598851642497,0.45742151692734456,0.6676030112871416,0.4443104969625829
38.0,0.303536586,0.12183308269990198,0.022794457700798066,0.07026843693866686,0.1733977284611371,0.5431011104337468,0.06405044736837118,0.39820893213537645,0.6879932887321171,0.42126802773384475
38.5,0.306378727,0.12666227575821448,0.024469361181696864,0.07130873509057487,0.1820158164258541,0.5487196366187481,0.06379702960920469,0.40440072911947067,0.6930385441180256,0.42205736086053364
39.0,0.30922086800000004,0.13207568919050822,0.026051834636758933,0.07314234486147347,0.19100903351954296,0.5552689326165205,0.06444851261099735,0.4094762681782601,0.701061597054781,0.42319324342601233
39.5,0.312063009,0.13867208713612614,0.027784232570150173,0.07581978641315676,0.20152438785909552,0.5652673933188515,0.0651422979214757,0.4179052774710095,0.7126295091666934,0.42659530618272534
40.0,0.31490515,0.14554356519760858,0.029512114375611957,0.07878252427184856,0.2123046061233686,0.5840847742446876,0.0655372530609553,0.43582920779906587,0.7323403406903094,0.43854120904707905
40.5,0.317545733,0.15234526878259963,0.031204543039150028,0.08175568823299736,0.2229348493322019,0.6031480664775135,0.06922497190761992,0.44655030042831734,0.7597458325267097,0.4508027976949139
41.0,0.320186316,0.15947757658578446,0.03290250315505399,0.08504694339774947,0.23390820977381943,0.6143565448790795,0.0749216737403986,0.444871943974219,0.78384114578394,0.4548789682932951
41.5,0.322826899,0.16601294802688493,0.03439588241651146,0.08820405624568617,0.2438218398080837,0.6284877756546312,0.07263865137683631,0.46416773014245916,0.7928078211668033,0.4624748276277463
42.0,0.32546748200000003,0.17150850129270456,0.03559343594042571,0.09099055522948202,0.2520264473559271,0.6404647793202207,0.06852898086105706,0.48544145440228903,0.7954881042381524,0.46895627802751616
42.5,0.328108065,0.17642928694158855,0.036601452729075314,0.09363104847964511,0.259227525403532,0.6465711611238854,0.06712189727436849,0.49473088042031566,0.798411441827455,0.4701418741822968
43.0,0.330748648,0.18023663238311755,0.037598507823238585,0.09518289859815249,0.2652903661680826,0.6487239395207021,0.0662482188793296,0.49886005665650046,0.7985878223849037,0.4684873071375845
43.5,0.333389231,0.18368115217877723,0.03864061750853797,0.09627000250473254,0.2710923018528219,0.6472552038053949,0.0653252218802402,0.4994792852139762,0.7950311223968136,0.4635740516266177
44.0,0.336029814,0.1864549460088525,0.03983410868173364,0.0963439317285601,0.27656596028914493,0.6488605528039271,0.06482770265544786,0.50221010089053,0.7955110047173242,0.4624056067950746
44.5,0.338670397,0.18891953823179738,0.04126740715636115,0.09556617754061848,0.2822728989229763,0.6663397196831927,0.06318693992164541,0.5234009309406109,0.8092785084257745,0.4774201814513953
45.0,0.34131098,0.19072020387500238,0.04283582764464941,0.09381882954187508,0.28762157820812967,0.6947185259474452,0.052816213789350606,0.5752399496090322,0.8141971022858582,0.5039983220724429
45.5,0.343951562,0.1924523223587448,0.04427225618636868,0.09230152091103917,0.2926031238064504,0.7440247487236341,0.03635047167787684,0.6617942688444,0.8262552286028683,0.5515724263648893
46.0,0.346592144,0.1943911610238941,0.045427464490431196,0.0916270968365649,0.2971552252112233,0.7582862348489942,0.036421738485585525,0.675894538250228,0.8406779314477603,0.5638950738251001
46.5,0.349232726,0.1962939625883639,0.04619325584035948,0.09179755801354275,0.3007903671631851,0.7683333361985935,0.03606372233895768,0.6867515283903389,0.849915144006848,0.5720393736102296
47.0,0.351873308,0.19902151775775107,0.04652299031297659,0.0937792019838592,0.30426383353164294,0.7738245284362124,0.03611489257290538,0.6921269655167082,0.8555220913557167,0.5748030106784614
47.5,0.35451389,0.20174450263361227,0.04665040990605935,0.09621394371454028,0.30727506155268425,0.7802813761116452,0.035577395391656795,0.6997997162907164,0.860763035932574,0.578536873478033
48.0,0.357154472,0.20528714689856026,0.04658464194318628,0.0999053654477879,0.31066892834933263,0.7887471543220673,0.03538822949473915,0.7086934174898184,0.8688008911543162,0.583460007423507
48.5,0.359795054,0.20895788443016375,0.046751510294047734,0.10319862054423651,0.314717148316091,0.772960384959536,0.044206551555464255,0.6729582177132635,0.8729625522058085,0.5640025005293723
