    Step            Time                Epot                Ekin                Etot
     271   2240.70250201    -76.459444326103      0.017130571172    -76.442313754931
     272   2248.97077692    -76.459907540280      0.017595825176    -76.442311715104
     273   2257.23905184    -76.459847650481      0.017540384614    -76.442307265867
     274   2265.50732675    -76.459312542732      0.017010991280    -76.442301551453
     275   2273.77560167    -76.458373657089      0.016078305025    -76.442295352064
     276   2282.04387658    -76.457113452580      0.014824309621    -76.442289142959
     277   2290.31215150    -76.455617400246      0.013334206573    -76.442283193673
     278   2298.58042641    -76.453969535374      0.011691911615    -76.442277623758
     279   2306.84870133    -76.452250318559      0.009977851189    -76.442272467370
     280   2315.11697624    -76.450535689384      0.008267956358    -76.442267733026
     281   2323.38525116    -76.448896523717      0.006633091882    -76.442263431834
     282   2331.65352608    -76.447398073892      0.005138483650    -76.442259590242
     283   2339.92180099    -76.446099237557      0.003842987835    -76.442256249722
     284   2348.19007591    -76.445051645901      0.002798184519    -76.442253461381
     285   2356.45835082    -76.444298606784      0.002047320707    -76.442251286076
     286   2364.72662574    -76.443873948318      0.001624152953    -76.442249795366
     287   2372.99490065    -76.443800784186      0.001551713873    -76.442249070313
     288   2381.26317557    -76.444090201944      0.001841000260    -76.442249201684
     289   2389.53145048    -76.444739868952      0.002489579321    -76.442250289632
     290   2397.79972540    -76.445732565224      0.003480123763    -76.442252441461
     291   2406.06800031    -76.447034691813      0.004778926881    -76.442255764932
     292   2414.33627523    -76.448594877784      0.006334523027    -76.442260354757
     293   2422.60455014    -76.450342917395      0.008076648564    -76.442266268831
     294   2430.87282506    -76.452189420781      0.009915936009    -76.442273484772
     295   2439.14109997    -76.454026753440      0.011744906937    -76.442281846502
     296   2447.40937489    -76.455732048861      0.013441050148    -76.442290998714
     297   2455.67764980    -76.457173243913      0.014872914879    -76.442300329033
     298   2463.94592472    -76.458219049083      0.015910111493    -76.442308937590
     299   2472.21419963    -76.458753412097      0.016437790760    -76.442315621336
     300   2480.48247455    -76.458694219642      0.016375276818    -76.442318942824
     301   2488.75074946    -76.458014471276      0.015696963948    -76.442317507327
     302   2497.01902438    -76.456761876860      0.014451449079    -76.442310427781
     303   2505.28729929    -76.455070486165      0.012772658181    -76.442297827984
     304   2513.55557421    -76.453156990894      0.010875785275    -76.442281205619
     305   2521.82384912    -76.451296177086      0.009032732379    -76.442263444707
     306   2530.09212404    -76.449775680808      0.007527412790    -76.442248268018
     307   2538.36039895    -76.448838898317      0.006599765251    -76.442239133066
     308   2546.62867387    -76.448632644167      0.006394642143    -76.442238002024
     309   2554.89694878    -76.449177514141      0.006932890027    -76.442244624115
     310   2563.16522370    -76.450371285791      0.008114544117    -76.442256741673
     311   2571.43349861    -76.452022395672      0.009751304696    -76.442271090976
     312   2579.70177353    -76.453899097577      0.011614476171    -76.442284621406
     313   2587.97004845    -76.455776518831      0.013481194073    -76.442295324758
     314   2596.23832336    -76.457468948073      0.015166528035    -76.442302420037
     315   2604.50659828    -76.458843692224      0.016537622402    -76.442306069821
     316   2612.77487319    -76.459820223858      0.017513267158    -76.442306956700
     317   2621.04314811    -76.460361348396      0.018055455576    -76.442305892820
     318   2629.31142302    -76.460462462127      0.018158938403    -76.442303523724
     319   2637.57969794    -76.460142581314      0.017842352161    -76.442300229152
     320   2645.84797285    -76.459438221470      0.017142010749    -76.442296210721
     321   2654.11624777    -76.458399510603      0.016107888039    -76.442291622564
     322   2662.38452268    -76.457087401232      0.014800767350    -76.442286633882
     323   2670.65279760    -76.455571117476      0.013289692797    -76.442281424679
     324   2678.92107251    -76.453925424378      0.011649250757    -76.442276173621
     325   2687.18934743    -76.452227668430      0.009956615816    -76.442271052614
     326   2695.45762234    -76.450554743227      0.008288524065    -76.442266219162
     327   2703.72589726    -76.448980205707      0.006718392822    -76.442261812885
     328   2711.99417217    -76.447571724248      0.005313771852    -76.442257952396
     329   2720.26244709    -76.446388950100      0.004134216209    -76.442254733891
     330   2728.53072200    -76.445481815019      0.003229580425    -76.442252234594
     331   2736.79899692    -76.444889190597      0.002638673302    -76.442250517295
     332   2745.06727183    -76.444637805828      0.002388168931    -76.442249636897
     333   2753.33554675    -76.444741310637      0.002491662274    -76.442249648364
     334   2761.60382166    -76.445199391112      0.002948780192    -76.442250610920
     335   2769.87209658    -76.445996879640      0.003744290239    -76.442252589401
     336   2778.14037149    -76.447102855120      0.004847204097    -76.442255651024
     337   2786.40864641    -76.448469805198      0.006209948941    -76.442259856257
     338   2794.67692132    -76.450033011892      0.007767769529    -76.442265242363
     339   2802.94519624    -76.451710443256      0.009438648671    -76.442271794585
     340   2811.21347115    -76.453403580009      0.011124179032    -76.442279400976
     341   2819.48174607    -76.454999773580      0.012711978380    -76.442287795201
     342   2827.75002098    -76.456376881530      0.014080376448    -76.442296505082
     343   2836.01829590    -76.457410966370      0.015106142711    -76.442304823659
     344   2844.28657082    -76.457987654216      0.015675854651    -76.442311799565
     345   2852.55484573    -76.458017234823      0.015700977141    -76.442316257682
     346   2860.82312065    -76.457452623249      0.015135697084    -76.442316926165
     347   2869.09139556    -76.456307746841      0.013995003033    -76.442312743808
     348   2877.35967048    -76.454671955615      0.012368661240    -76.442303294375
     349   2885.62794539    -76.452714520308      0.010425313633    -76.442289206675
     350   2893.89622031    -76.450673405991      0.008401054442    -76.442272351549
     351   2902.16449522    -76.448825357844      0.006569688211    -76.442255669633
     352   2910.43277014    -76.447440169173      0.005197646275    -76.442242522899
     353   2918.70104505    -76.446729203953      0.004493506237    -76.442235697716
     354   2926.96931997    -76.446803090038      0.004566617625    -76.442236472412
     355   2935.23759488    -76.447652232776      0.005408008504    -76.442244224272
     356   2943.50586980    -76.449155854287      0.006899074730    -76.442256779557
     357   2951.77414471    -76.451114514613      0.008843225386    -76.442271289226
     358   2960.04241963    -76.453293397147      0.011008241559    -76.442285155588
     359   2968.31069454    -76.455462650859      0.013166043548    -76.442296607310
     360   2976.57896946    -76.457425873427      0.015121063337    -76.442304810090
     361   2984.84724437    -76.459034519206      0.016724851818    -76.442309667388
     362   2993.11551929    -76.460190938856      0.017879405138    -76.442311533718
     363   3001.38379420    -76.460844526685      0.018533578221    -76.442310948464
     364   3009.65206912    -76.460984898120      0.018676463729    -76.442308434390
     365   3017.92034403    -76.460634544397      0.018330126165    -76.442304418233
     366   3026.18861895    -76.459841962355      0.017542696922    -76.442299265433
     367   3034.45689386    -76.458675364076      0.016382024202    -76.442293339874
     368   3042.72516878    -76.457216809359      0.014929799645    -76.442287009714
     369   3050.99344369    -76.455556721423      0.013276111229    -76.442280610194
     370   3059.26171861    -76.453788890266      0.011514475728    -76.442274414537
     371   3067.52999352    -76.452006095132      0.009737464204    -76.442268630928
     372   3075.79826844    -76.450296437949      0.008033026367    -76.442263411582
     373   3084.06654335    -76.448740416452      0.006481551121    -76.442258865330
     374   3092.33481827    -76.447408687384      0.005153614216    -76.442255073168
     375   3100.60309319    -76.446360409535      0.004108309778    -76.442252099758
     376   3108.87136810    -76.445642018021      0.003392018253    -76.442249999768
     377   3117.13964302    -76.445286268230      0.003037444233    -76.442248823997
     378   3125.40791793    -76.445311397404      0.003062771218    -76.442248626186
     379   3133.67619285    -76.445720280759      0.003470811056    -76.442249469703
     380   3141.94446776    -76.446499505404      0.004248075182    -76.442251430221
     381   3150.21274268    -76.447618349294      0.005363757597    -76.442254591697
     382   3158.48101759    -76.449027738776      0.006768702176    -76.442259036600
     383   3166.74929251    -76.450659365472      0.008394544845    -76.442264820628
     384   3175.01756742    -76.452425296928      0.010153358478    -76.442271938450
     385   3183.28584234    -76.454218583446      0.011938306241    -76.442280277205
     386   3191.55411725    -76.455915575798      0.013626018034    -76.442289557764
     387   3199.82239217    -76.457380827895      0.015081547001    -76.442299280895
     388   3208.09066708    -76.458475508107      0.016166832587    -76.442308675520
     389   3216.35894200    -76.459070047210      0.016753384818    -76.442316662392
     390   3224.62721691    -76.459061154469      0.016739264813    -76.442321889656
     391   3232.89549183    -76.458392125538      0.016069195207    -76.442322930331
     392   3241.16376674    -76.457073456699      0.014754806876    -76.442318649824
     393   3249.43204166    -76.455198559842      0.012889895314    -76.442308664528
     394   3257.70031657    -76.452947891708      0.010654145159    -76.442293746549
     395   3265.96859149    -76.450575363775      0.008299373599    -76.442275990176
     396   3274.23686640    -76.448374665811      0.006116117622    -76.442258548190
     397   3282.50514132    -76.446630077952      0.004385231797    -76.442244846155
     398   3290.77341623    -76.445563942050      0.003326433285    -76.442237508765
     399   3299.04169115    -76.445296676041      0.003059167086    -76.442237508955
     400   3307.30996606    -76.445831632886      0.003587635843    -76.442243997043
     401   3315.57824098    -76.447067283237      0.004812417737    -76.442254865500
     402   3323.84651589    -76.448828690555      0.006561025707    -76.442267664848
     403   3332.11479081    -76.450905049522      0.008624698016    -76.442280351506
     404   3340.38306572    -76.453082081511      0.010790498617    -76.442291582895
     405   3348.65134064    -76.455164293868      0.012863662022    -76.442300631846
     406   3356.91961555    -76.456987808323      0.014680637902    -76.442307170421
     407   3365.18789047    -76.458426914946      0.016115815054    -76.442311099892
     408   3373.45616539    -76.459397050689      0.017084594133    -76.442312456556
     409   3381.72444030    -76.459855392986      0.017544006856    -76.442311386130
     410   3389.99271522    -76.459799167065      0.017491011884    -76.442308155181
     411   3398.26099013    -76.459261527008      0.016958371045    -76.442303155963
     412   3406.52926505    -76.458305238012      0.016008343877    -76.442296894135
     413   3414.79753996    -76.457014884554      0.014724956589    -76.442289927965
     414   3423.06581488    -76.455488602032      0.013205826137    -76.442282775895
     415   3431.33408979    -76.453830289711      0.011554436660    -76.442275853051
     416   3439.60236471    -76.452142962913      0.009873508358    -76.442269454556
     417   3447.87063962    -76.450523536961      0.008259761650    -76.442263775311
     418   3456.13891454    -76.449059038149      0.006800096575    -76.442258941574
     419   3464.40718945    -76.447824048689      0.005569015248    -76.442255033441
     420   3472.67546437    -76.446879108585      0.004627009268    -76.442252099318
     421   3480.94373928    -76.446269783075      0.004019617147    -76.442250165928
     422   3489.21201420    -76.446026122451      0.003776873092    -76.442249249359
     423   3497.48028911    -76.446162295617      0.003912927773    -76.442249367844
     424   3505.74856403    -76.446676240600      0.004425691675    -76.442250548925
